Course Code,SIS Student ID,Attendance,Class Date
PWG  1001 01 in 08B/004,156741,present,2024-02-08
PWG  1001 01 in 08B/004,156274,present,2024-02-08
PWG  1001 01 in 08B/004,157648,present,2024-02-08
PWG  1001 01 in 08B/004,154428,present,2024-02-08
PWG  1001 01 in 08B/004,155952,present,2024-02-08
PWG  1001 01 in 08B/004,76575,present,2024-02-08
PWG  1001 01 in 08B/004,108976,present,2024-02-08
PWG  1001 01 in 08B/004,156193,present,2024-02-08
PWG  1001 01 in 08B/004,151485,present,2024-02-08
PWG  1001 01 in 08B/004,150991,present,2024-02-08
PWG  1001 01 in 08B/004,141202,present,2024-02-08
PWG  1001 01 in 08B/004,151331,present,2024-02-08
FIN  3301 02 in 08B/108,101788,late,2024-02-08
MTH  2304 02 in 04/106,85786,present,2024-02-08
FIN  3301 02 in 08B/108,137419,present,2024-02-08
MTH  2304 02 in 04/106,79320,present,2024-02-08
MTH  2304 02 in 04/106,91139,present,2024-02-08
MGT  4303 01 in 09/104,98413,present,2024-02-08
MGT  4303 01 in 09/104,100740,present,2024-02-08
MGT  4303 01 in 09/104,79101,present,2024-02-08
MGT  4303 01 in 09/104,101858,present,2024-02-08
MTH  2304 02 in 04/106,84939,present,2024-02-08
MTH  2304 02 in 04/106,79731,present,2024-02-08
MTH  2304 02 in 04/106,81817,present,2024-02-08
MTH  2304 02 in 04/106,115195,present,2024-02-08
MTH  2304 02 in 04/106,117298,present,2024-02-08
MTH  2304 02 in 04/106,119263,present,2024-02-08
MTH  2304 02 in 04/106,107770,present,2024-02-08
MTH  2304 02 in 04/106,119498,present,2024-02-08
MTH  2304 02 in 04/106,106411,present,2024-02-08
MTH  2304 02 in 04/106,121340,present,2024-02-08
MTH  2304 02 in 04/106,98831,present,2024-02-08
MTH  2304 02 in 04/106,121187,present,2024-02-08
MTH  2304 02 in 04/106,82703,present,2024-02-08
MTH  2304 02 in 04/106,115162,present,2024-02-08
MTH  2304 02 in 04/106,100870,present,2024-02-08
MTH  2304 02 in 04/106,116859,present,2024-02-08
MTH  2304 02 in 04/106,84774,present,2024-02-08
MTH  2304 02 in 04/106,140815,present,2024-02-08
MTH  2304 02 in 04/106,141091,present,2024-02-08
MTH  2304 02 in 04/106,97981,present,2024-02-08
MTH  2304 02 in 04/106,94469,present,2024-02-08
MTH  2304 02 in 04/106,98778,present,2024-02-08
MGT  4303 01 in 09/104,83122,present,2024-02-08
FIN  3301 02 in 08B/108,118917,present,2024-02-08
FIN  3301 02 in 08B/108,87198,present,2024-02-08
MTH  2304 01 in 06/106,112255,present,2024-02-08
MTH  2304 01 in 06/106,101388,absent,2024-02-08
MTH  2304 01 in 06/106,101389,present,2024-02-08
MTH  2304 01 in 06/106,94945,present,2024-02-08
MTH  2304 01 in 06/106,98045,present,2024-02-08
MTH  2304 01 in 06/106,100881,present,2024-02-08
MTH  2304 01 in 06/106,138951,present,2024-02-08
MTH  2304 01 in 06/106,97337,absent,2024-02-08
MTH  2304 01 in 06/106,117916,present,2024-02-08
MTH  2304 01 in 06/106,115201,present,2024-02-08
MTH  2304 01 in 06/106,90474,present,2024-02-08
MTH  2304 01 in 06/106,101519,present,2024-02-08
FIN  3301 01 in 04/101,95965,absent,2024-02-08
FIN  3301 01 in 04/101,85836,present,2024-02-08
FIN  3301 01 in 04/101,96302,present,2024-02-08
FIN  3301 01 in 04/101,91035,present,2024-02-08
FIN  3301 01 in 04/101,141125,present,2024-02-08
FIN  3301 01 in 04/101,136101,present,2024-02-08
FIN  3301 01 in 04/101,98392,present,2024-02-08
FIN  3301 01 in 04/101,103686,present,2024-02-08
FIN  3301 01 in 04/101,76943,present,2024-02-08
FIN  3301 01 in 04/101,94753,absent,2024-02-08
FIN  3301 01 in 04/101,101174,present,2024-02-08
FIN  3301 01 in 04/101,82934,present,2024-02-08
FIN  3301 01 in 04/101,119510,present,2024-02-08
MTH  2304 01 in 06/106,120335,absent,2024-02-08
FIN  3301 02 in 08B/108,125503,present,2024-02-08
FIN  3301 02 in 08B/108,121606,present,2024-02-08
FIN  3301 02 in 08B/108,121347,present,2024-02-08
FIN  3301 02 in 08B/108,102988,present,2024-02-08
FIN  3301 02 in 08B/108,81286,present,2024-02-08
FIN  3301 02 in 08B/108,116954,present,2024-02-08
FIN  3301 02 in 08B/108,80952,present,2024-02-08
FIN  3301 02 in 08B/108,114461,present,2024-02-08
FIN  3301 02 in 08B/108,99691,present,2024-02-08
FIN  3301 02 in 08B/108,87457,present,2024-02-08
FIN  3301 02 in 08B/108,140480,present,2024-02-08
FIN  3301 02 in 08B/108,119016,present,2024-02-08
FIN  3301 02 in 08B/108,109323,present,2024-02-08
FIN  3301 02 in 08B/108,121063,present,2024-02-08
FIN  3301 02 in 08B/108,100193,present,2024-02-08
FIN  3301 02 in 08B/108,135594,present,2024-02-08
FIN  3301 02 in 08B/108,135756,present,2024-02-08
FIN  3301 02 in 08B/108,109181,present,2024-02-08
FIN  3301 02 in 08B/108,99769,present,2024-02-08
FIN  3301 02 in 08B/108,99976,present,2024-02-08
FIN  3301 02 in 08B/108,85802,present,2024-02-08
FIN  3301 02 in 08B/108,104356,present,2024-02-08
FIN  3301 02 in 08B/108,101658,present,2024-02-08
FIN  3301 02 in 08B/108,121711,present,2024-02-08
FIN  3301 02 in 08B/108,142236,present,2024-02-08
FIN  3301 02 in 08B/108,137422,present,2024-02-08
FIN  3301 02 in 08B/108,119062,present,2024-02-08
FIN  3301 02 in 08B/108,102320,present,2024-02-08
FIN  3301 02 in 08B/108,105621,present,2024-02-08
MGT  4303 01 in 09/104,101161,present,2024-02-08
MGT  4303 01 in 09/104,82941,present,2024-02-08
MGT  4303 01 in 09/104,112713,present,2024-02-08
RES  4326 01 in 06/106,89486,present,2024-02-08
RES  4326 01 in 06/106,88105,present,2024-02-08
RES  4326 01 in 06/106,99809,present,2024-02-08
RES  4326 01 in 06/106,84580,present,2024-02-08
RES  4326 01 in 06/106,109268,present,2024-02-08
RES  4326 01 in 06/106,97862,present,2024-02-08
RES  4326 01 in 06/106,84230,present,2024-02-08
RES  4326 01 in 06/106,87474,present,2024-02-08
RES  4326 01 in 06/106,88238,present,2024-02-08
RES  4326 01 in 06/106,97510,present,2024-02-08
RES  4326 01 in 06/106,101757,present,2024-02-08
RES  4326 01 in 06/106,96236,present,2024-02-08
RES  4326 01 in 06/106,83420,present,2024-02-08
RES  3321 01 in 07/107,94638,present,2024-02-08
RES  3321 01 in 07/107,88105,absent,2024-02-08
RES  3321 01 in 07/107,97726,absent,2024-02-08
RES  3321 01 in 07/107,115195,present,2024-02-08
RES  3321 01 in 07/107,85570,present,2024-02-08
RES  3321 01 in 07/107,100870,present,2024-02-08
RES  3321 01 in 07/107,84580,present,2024-02-08
RES  3321 01 in 07/107,109268,present,2024-02-08
RES  3321 01 in 07/107,97510,present,2024-02-08
RES  3321 01 in 07/107,88238,present,2024-02-08
RES  3321 01 in 07/107,97862,present,2024-02-08
GEO  1301 05 in 10/007,138124,present,2024-02-08
RES  4326 01 in 06/106,103700,present,2024-02-08
GEO  1301 05 in 10/007,103337,present,2024-02-08
RES  4326 01 in 06/106,102773,present,2024-02-08
RES  4326 01 in 06/106,90329,present,2024-02-08
MTH  2320 05 in 09/104,76943,absent,2024-02-08
MTH  2320 05 in 09/104,83185,present,2024-02-08
MTH  2320 05 in 09/104,142845,absent,2024-02-08
MTH  2320 05 in 09/104,119724,present,2024-02-08
MTH  2320 05 in 09/104,119274,present,2024-02-08
MTH  2320 05 in 09/104,119490,present,2024-02-08
MTH  2320 05 in 09/104,119865,absent,2024-02-08
MTH  2320 05 in 09/104,104676,present,2024-02-08
MTH  2320 05 in 09/104,125157,present,2024-02-08
MTH  2320 05 in 09/104,142870,present,2024-02-08
MTH  2320 05 in 09/104,117027,present,2024-02-08
MTH  2320 05 in 09/104,120995,present,2024-02-08
MTH  2320 05 in 09/104,117265,present,2024-02-08
MTH  2320 05 in 09/104,143485,present,2024-02-08
MTH  2320 05 in 09/104,143554,present,2024-02-08
GEO  2305 01 in 10/007,120983,present,2024-02-08
GEO  2305 01 in 10/007,105339,present,2024-02-08
GEO  2305 01 in 10/007,45997,present,2024-02-08
GEO  2305 01 in 10/007,158284,present,2024-02-08
GEO  2305 01 in 10/007,141215,present,2024-02-08
GEO  2305 01 in 10/007,143496,absent,2024-02-08
GEO  2305 01 in 10/007,137379,present,2024-02-08
GEO  2305 01 in 10/007,101435,present,2024-02-08
RES  4326 01 in 06/106,87616,present,2024-02-08
RES  4326 01 in 06/106,107563,present,2024-02-08
RES  4326 01 in 06/106,101318,present,2024-02-08
GEO  1301 05 in 10/007,137423,present,2024-02-08
GEO  1301 05 in 10/007,113579,absent,2024-02-08
GEO  1301 05 in 10/007,143291,present,2024-02-08
MGT  4303 01 in 09/104,89759,present,2024-02-08
MGT  4303 01 in 09/104,102993,present,2024-02-08
MGT  4303 01 in 09/104,95707,present,2024-02-08
MGT  4303 01 in 09/104,76740,present,2024-02-08
MGT  4303 01 in 09/104,84290,present,2024-02-08
MGT  4303 01 in 09/104,95754,present,2024-02-08
MGT  4303 01 in 09/104,84781,present,2024-02-08
MGT  4303 01 in 09/104,97412,present,2024-02-08
MGT  4303 01 in 09/104,84445,present,2024-02-08
MGT  4303 01 in 09/104,86268,present,2024-02-08
MGT  4303 01 in 09/104,86042,present,2024-02-08
MGT  4303 01 in 09/104,85874,present,2024-02-08
MGT  4303 01 in 09/104,97108,present,2024-02-08
MGT  4303 01 in 09/104,93807,present,2024-02-08
MGT  4303 01 in 09/104,83695,present,2024-02-08
MGT  4303 01 in 09/104,85393,present,2024-02-08
MGT  4303 01 in 09/104,98833,present,2024-02-08
MGT  4303 01 in 09/104,80946,present,2024-02-08
MGT  4303 01 in 09/104,104341,present,2024-02-08
MGT  4303 01 in 09/104,98327,present,2024-02-08
MGT  4303 01 in 09/104,85926,present,2024-02-08
MGT  4303 01 in 09/104,100894,present,2024-02-08
MGT  4303 01 in 09/104,83254,present,2024-02-08
MGT  4303 01 in 09/104,101295,present,2024-02-08
MGT  4303 01 in 09/104,89025,present,2024-02-08
MGT  4303 01 in 09/104,89678,present,2024-02-08
MGT  4303 01 in 09/104,81617,present,2024-02-08
MGT  4303 01 in 09/104,106411,present,2024-02-08
MGT  4303 01 in 09/104,87898,present,2024-02-08
GEO  1301 05 in 10/007,157304,present,2024-02-08
GEO  1301 05 in 10/007,112837,absent,2024-02-08
GEO  1301 05 in 10/007,106700,present,2024-02-08
GEO  1301 05 in 10/007,118607,absent,2024-02-08
GEO  1301 05 in 10/007,121547,present,2024-02-08
GEO  1301 05 in 10/007,117338,present,2024-02-08
GEO  1301 05 in 10/007,88911,present,2024-02-08
GEO  1301 05 in 10/007,104549,present,2024-02-08
GEO  1301 05 in 10/007,97639,present,2024-02-08
GEO  1301 05 in 10/007,140815,present,2024-02-08
GEO  1301 05 in 10/007,112635,absent,2024-02-08
GEO  1301 05 in 10/007,119383,present,2024-02-08
